Payment measure name,Payment,Value of care category
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$20,128 ",Average mortality and average payment
Payment for heart failure patients,"$15,179 ",Average mortality and average payment
Payment for pneumonia patients,"$19,063 ",Average mortality and average payment
Payment for pneumonia patients,"$13,211 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$13,139 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$17,689 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,552 ",Average complications and lower payment
Payment for heart failure patients,"$17,251 ",Average mortality and average payment
Payment for pneumonia patients,"$15,699 ",Average mortality and average payment
Payment for heart failure patients,"$14,455 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$10,778 ",Average mortality and lower payment
Payment for pneumonia patients,"$16,067 ",Average mortality and average payment
Payment for heart failure patients,"$16,941 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$17,863 ",Average complications and lower payment
Payment for pneumonia patients,"$13,835 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$18,313 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$13,803 ",Average mortality and lower payment
Payment for pneumonia patients,"$14,095 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$20,124 ",Average complications and average payment
Payment for pneumonia patients,"$19,928 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,201 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,008 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$14,872 ",Average mortality and average payment
Payment for heart failure patients,"$15,616 ",Average mortality and average payment
Payment for pneumonia patients,"$15,546 ",Average mortality and average payment
Payment for pneumonia patients,"$19,067 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$19,999 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,963 ",Average complications and lower payment
Payment for heart attack patients,"$20,987 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$17,081 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$20,505 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,590 ",Average complications and average payment
Payment for heart failure patients,"$14,600 ",Average mortality and average payment
